C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-02,59 ST,NQR456,BMT,05/20/2016,00:00:00,REGULAR,0004907242,0006788150                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/20/2016,04:00:00,REGULAR,0004907242,0006788164                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/20/2016,08:00:00,REGULAR,0004907242,0006788566                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/20/2016,12:00:00,REGULAR,0004907242,0006789424                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/20/2016,16:00:00,REGULAR,0004907242,0006789814                                             
A002,R051,02-03-02,59 ST,NQR456,BMT,05/20/2016,20:00:00,REGULAR,0004907242,0006790403                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/14/2016,00:00:00,REGULAR,0004538668,0005464739                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/14/2016,04:00:00,REGULAR,0004538739,0005464752                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/14/2016,08:00:00,REGULAR,0004538770,0005464866                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/14/2016,12:00:00,REGULAR,0004538967,0005465114                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/14/2016,16:00:00,REGULAR,0004539357,0005465331                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/14/2016,20:00:00,REGULAR,0004539828,0005465507                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/15/2016,00:00:00,REGULAR,0004540143,0005465588                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/15/2016,04:00:00,REGULAR,0004540189,0005465614                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/15/2016,08:00:00,REGULAR,0004540214,0005465654                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/15/2016,12:00:00,REGULAR,0004540351,0005465835                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/15/2016,16:00:00,REGULAR,0004540676,0005466031                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/15/2016,20:00:00,REGULAR,0004541042,0005466201                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/16/2016,00:00:00,REGULAR,0004541276,0005466285                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/16/2016,04:00:00,REGULAR,0004541296,0005466302                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/16/2016,08:00:00,REGULAR,0004541362,0005466747                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/16/2016,12:00:00,REGULAR,0004541717,0005467396                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/16/2016,16:00:00,REGULAR,0004542119,0005467581                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/16/2016,20:00:00,REGULAR,0004543154,0005467823                                             
A002,R051,02-03-03,59 ST,NQR456,BMT,05/17/2016,00:00:00,REGULAR,0004543586,0005467915                                             
